dataset,sequence_id,relative_path,action,object_name,skill,clip_start_s,clip_end_s,tsne_x,tsne_y
Dongbu MoCap,20260330000166_1_1775007076#clip000,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip000,carry,Box_H_1,carry_box,0.0,4.99995,-60.93288040161133,68.97016143798828
Dongbu MoCap,20260330000166_1_1775007076#clip001,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip001,carry,Box_H_1,carry_box,0.9999899999999999,5.99994,-54.78486251831055,64.29735565185547
Dongbu MoCap,20260330000166_1_1775007076#clip002,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip002,carry,Box_H_1,carry_box,1.9999799999999999,6.99993,-44.23157501220703,49.64607238769531
Dongbu MoCap,20260330000166_1_1775007076#clip003,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip003,carry,Box_H_1,carry_box,2.99997,7.9999199999999995,6.626765727996826,12.657947540283203
Dongbu MoCap,20260330000166_1_1775007076#clip004,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip004,carry,Box_H_1,carry_box,3.9999599999999997,8.99991,21.20577049255371,12.916452407836914
Dongbu MoCap,20260330000166_1_1775007076#clip005,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip005,carry,Box_H_1,carry_box,4.99995,9.9999,19.381271362304688,-18.613487243652344
Dongbu MoCap,20260330000166_1_1775007076#clip006,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip006,carry,Box_H_1,carry_box,5.99994,10.99989,18.338022232055664,-32.27366256713867
Dongbu MoCap,20260330000166_1_1775007076#clip007,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip007,carry,Box_H_1,carry_box,6.99993,11.99988,15.373124122619629,-65.59129333496094
Dongbu MoCap,20260330000166_1_1775007076#clip008,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip008,carry,Box_H_1,carry_box,7.9999199999999995,12.99987,21.334653854370117,-53.252498626708984
Dongbu MoCap,20260330000166_1_1775007076#clip009,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip009,carry,Box_H_1,carry_box,8.99991,13.99986,25.074983596801758,-29.887069702148438
Dongbu MoCap,20260330000166_1_1775007076#clip010,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip010,carry,Box_H_1,carry_box,9.9999,14.99985,14.587297439575195,-17.846467971801758
Dongbu MoCap,20260330000166_1_1775007076#clip011,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip011,carry,Box_H_1,carry_box,10.99989,15.999839999999999,10.976645469665527,-3.6721391677856445
Dongbu MoCap,20260330000166_1_1775007076#clip012,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip012,carry,Box_H_1,carry_box,11.99988,16.99983,10.736931800842285,-3.9460463523864746
Dongbu MoCap,20260330000166_1_1775007076#clip013,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip013,carry,Box_H_1,carry_box,12.99987,17.99982,9.50002670288086,-14.823832511901855
Dongbu MoCap,20260330000166_1_1775007076#clip014,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip014,carry,Box_H_1,carry_box,13.99986,18.99981,16.282798767089844,-22.937232971191406
Dongbu MoCap,20260330000166_1_1775007076#clip015,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip015,carry,Box_H_1,carry_box,14.99985,19.9998,17.942455291748047,-29.077409744262695
Dongbu MoCap,20260330000166_1_1775007076#clip016,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip016,carry,Box_H_1,carry_box,15.999839999999999,20.99979,23.077226638793945,-48.35805892944336
Dongbu MoCap,20260330000166_1_1775007076#clip017,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip017,carry,Box_H_1,carry_box,16.99983,21.99978,9.715431213378906,-80.2215576171875
Dongbu MoCap,20260330000166_1_1775007076#clip018,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip018,carry,Box_H_1,carry_box,17.99982,22.999769999999998,24.471343994140625,-53.630794525146484
Dongbu MoCap,20260330000166_1_1775007076#clip019,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip019,carry,Box_H_1,carry_box,18.99981,23.99976,21.712053298950195,-53.23794937133789
Dongbu MoCap,20260330000166_1_1775007076#clip020,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip020,carry,Box_H_1,carry_box,19.9998,24.99975,25.18650245666504,-27.680801391601562
Dongbu MoCap,20260330000166_1_1775007076#clip021,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip021,carry,Box_H_1,carry_box,20.99979,25.99974,16.966415405273438,-16.485124588012695
